item;realizacao;correcao;valor;classe;sexo;participante;periodo
deitado;sim;nao;nao morfemico;nao verbo;masculino;38M22;inicio
comecou;sim;nao;morfemico;verbo;masculino;38M22;inicio
primeira;nao;nao;nao morfemico;nao verbo;masculino;38M22;inicio
acompanhou;sim;nao;morfemico;verbo;masculino;38M22;inicio
mostrou;sim;nao;morfemico;verbo;masculino;38M22;inicio
deitados;sim;nao;morfemico;nao verbo;masculino;38M22;inicio
revolucionario;nao;nao;nao morfemico;nao verbo;masculino;38M22;inicio
beijo;nao;nao;nao morfemico;nao verbo;masculino;38M22;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;38M22;inicio
ouviu;nao;nao;morfemico;verbo;masculino;39M23;final
poupava;sim;nao;morfemico;verbo;masculino;39M23;final
entrou;nao;nao;morfemico;verbo;masculino;39M23;final
pouco;nao;nao;nao morfemico;nao verbo;masculino;39M23;final
passageira;nao;nao;nao morfemico;nao verbo;masculino;39M23;final
beijava;nao;nao;morfemico;verbo;masculino;39M23;final
apaixonadamente;nao;nao;nao morfemico;nao verbo;masculino;39M23;final
deitado;sim;nao;nao morfemico;nao verbo;masculino;39M23;final
comecou;nao;nao;morfemico;verbo;masculino;39M23;final
primeira;nao;nao;nao morfemico;nao verbo;masculino;39M23;final
acompanhou;nao;nao;morfemico;verbo;masculino;39M23;final
mostrou;nao;nao;morfemico;verbo;masculino;39M23;final
deitados;sim;nao;morfemico;nao verbo;masculino;39M23;final
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;39M23;final
beijo;nao;nao;nao morfemico;nao verbo;masculino;39M23;final
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;39M23;final
ouviu;nao;nao;morfemico;verbo;masculino;40M17;inicio
poupava;sim;nao;morfemico;verbo;masculino;40M17;inicio
entrou;nao;nao;morfemico;verbo;masculino;40M17;inicio
pouco;nao;nao;nao morfemico;nao verbo;masculino;40M17;inicio
passageira;nao;nao;nao morfemico;nao verbo;masculino;40M17;inicio
beijava;nao;nao;morfemico;verbo;masculino;40M17;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;masculino;40M17;inicio
deitado;sim;nao;nao morfemico;nao verbo;masculino;40M17;inicio
comecou;nao;nao;morfemico;verbo;masculino;40M17;inicio
primeira;nao;nao;nao morfemico;nao verbo;masculino;40M17;inicio
acompanhou;sim;nao;morfemico;verbo;masculino;40M17;inicio
mostrou;nao;nao;morfemico;verbo;masculino;40M17;inicio
deitados;sim;nao;morfemico;nao verbo;masculino;40M17;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;40M17;inicio
beijo;nao;nao;nao morfemico;nao verbo;masculino;40M17;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;40M17;inicio
ouviu;nao;nao;morfemico;verbo;masculino;41M22;inicio
poupava;sim;nao;morfemico;verbo;masculino;41M22;inicio
entrou;nao;nao;morfemico;verbo;masculino;41M22;inicio
pouco;nao;nao;nao morfemico;nao verbo;masculino;41M22;inicio
passageira;nao;nao;nao morfemico;nao verbo;masculino;41M22;inicio
beijava;nao;nao;morfemico;verbo;masculino;41M22;inicio
apaixonadamente;nao;nao;nao morfemico;nao verbo;masculino;41M22;inicio
deitado;sim;nao;nao morfemico;nao verbo;masculino;41M22;inicio
comecou;sim;nao;morfemico;verbo;masculino;41M22;inicio
primeira;nao;nao;nao morfemico;nao verbo;masculino;41M22;inicio
acompanhou;nao;nao;morfemico;verbo;masculino;41M22;inicio
mostrou;nao;nao;morfemico;verbo;masculino;41M22;inicio
deitados;sim;nao;morfemico;nao verbo;masculino;41M22;inicio
revolucionario;sim;nao;nao morfemico;nao verbo;masculino;41M22;inicio
beijo;nao;nao;nao morfemico;nao verbo;masculino;41M22;inicio
dinheiro;nao;nao;nao morfemico;nao verbo;masculino;41M22;inicio
ouviu;sim;nao;morfemico;verbo;masculino;42M21;final
poupava;sim;nao;morfemico;verbo;masculino;42M21;final
entrou;sim;nao;morfemico;verbo;masculino;42M21;final
pouco;nao;nao;nao morfemico;nao verbo;masculino;42M21;final
passageira;nao;nao;nao morfemico;nao verbo;masculino;42M21;final
beijava;nao;nao;morfemico;verbo;masculino;42M21;final
apaixonadamente;nao;nao;nao morfemico;nao verbo;masculino;42M21;final
deitado;sim;nao;nao morfemico;nao verbo;masculino;42M21;final
comecou;sim;nao;morfemico;verbo;masculino;42M21;final
primeira;nao;nao;nao morfemico;nao verbo;masculino;42M21;final
acompanhou;sim;nao;morfemico;verbo;masculino;42M21;final
